category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences
structures,Moldelectrica ownership OR restructuring,ru,web,Kuchurgan power station - Global Energy Monitor,https://www.gem.wiki/Kuchurgan_power_station,gem.wiki,,,"Jul 22, 2025","The power station is 100% owned by the Russian Inter RAO since 2005. In November 2008, Kuchurgan's parent company Inter RAO and Moldelectrica (a Moldovan ...",1,2024,2025,1
structures,Moldelectrica ownership OR restructuring,ru,web,Урсуле фон дер Ляйен грозит импичмент,https://logos-pres.md/wp-content/uploads/2025/06/24_1574.pdf,logos-pres.md,,,"Jun 24, 2025","Процесс реорганизации начался мно- го лет назад, с подписания в октябре 2012 года соглашения с Европейским банком реконструкции и развития (ЕБРР) о фи-.",2,2024,2025,1
structures,Moldelectrica ownership OR restructuring,ru,web,Великий праздник для величия Европы,https://logos-pres.md/wp-content/uploads/2025/05/17_1567.pdf,logos-pres.md,,,"May 17, 2025","Госпредприятие Moldelectrica представило в ходе публичных консультаций План развития сети электропередачи на период 2025–2034 гг., который предусматривает ...",3,2024,2025,1
organisations; structures,"""EU4Energy Moldova"" OR ""Energy Community Moldova""; Moldelectrica ownership OR restructuring",ro,web,Republic of Moldova 2024 Report - EEAS,https://www.eeas.europa.eu/sites/default/files/documents/2024/Moldova%20Report%202024.pdf,EEAS,,,"Oct 30, 2024","CONTEXT. On 3 March 2022, the Republic of Moldova ('Moldova') applied for EU membership. Following the. Commission's recommendation in November 2023, ...",1,2024,2025,2
structures,Moldelectrica ownership OR restructuring,ro,web,Agenda de Reformă,https://gov.md/sites/default/files/media/documents/sedinte-de-guvern/2025-05/NU-251-MDED-2025_0.pdf,Guvernul Republicii Moldova,,,"May 7, 2025","Cererea va fi depusă în comun de Moldelectrica (OTS) și de OPEED. Cuplarea piețelor va spori concurența, lichiditatea și semnalele de investiții în Republica ...",2,2024,2025,1
structures,Moldelectrica ownership OR restructuring,ro,web,"Energbank, bank, Chisinau, strada Vasile Alecsandri, 78",https://yandex.com/maps/org/energbank/10757608430/,Yandex,,,"Jul 4, 2024",Are you the owner of this organization? Confirm ownership on Yandex Maps ... EnergbankRustaveliDirectorate for the exploitation of Real EstateMoldelectricaAgency ...,3,2024,2025,1
structures,"""Energy Community Moldova report"" filetype:pdf",ru,web,Разделенная Молдова: ослабление напряженности в ...,https://crisisgroup.org/sites/default/files/2024-09/b097-moldova-divided-ru.pdf,International Crisis Group,,,"Sep 16, 2024","... Moldova will no longer buy gas from Russia's Gazprom – energy minister», Reuters, 2 октября 2023; «Moldova marks historic step on Trans-Balkan reverse flows ...",1,2024,2025,1
structures,"""Energy Community Moldova report"" filetype:pdf",ru,web,Годовой обзор за,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/communications-department/annual-review/annual-review-2024/ebrd-annual-review-2024-russian.pdf,EBRD,,,"Feb 15, 2025","Premier Energy PLC, ЕБРР поддерживает инвестиции в создание возобновляемых энергогенерирующих мощностей Румынии и Молдовы. Средства этой инвестиционной ...",2,2024,2025,1
structures,"""Energy Community Moldova report"" filetype:pdf",ru,web,Republica Moldova - Consiliul Municipal Ungheni,http://ungheni.md/wp-content/uploads/2025/01/D-9-6.pdf,Ungheni.md,,,"Jan 22, 2025","Luând în considerare necesitatea implementării unor programe, proiecte la eficientizarea consumului de energie, utilizarea surselor de energie regenerabile, ...",3,2024,2025,1
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",en,web,Moldova's dramatic energy sector transformation,https://www.intellinews.com/moldova-s-dramatic-energy-sector-transformation-400923/,bne IntelliNews,,,"Sep 12, 2025",But the struggle to end Moldova's energy dependence on Russia wasn't over. The last four years have seen repeated crises in Moldova's energy sector ...,1,2024,2025,1
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",en,web,Moldova's Fragile Choice: Europe's Promise or Russia's ...,https://www.epc.eu/publication/moldovas-fragile-choice-europes-promise-or-russias-shadow/,"EPC, European Policy Centre",,,"Sep 24, 2025","Meanwhile, the US just announced a $130 million investment in a new high-voltage transmission line to reduce Moldova's energy dependence on Russia-linked ...",2,2024,2025,1
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",en,web,Is Moldova a new battleground in Russia's war?,https://www.chathamhouse.org/2024/03/moldova-new-battleground-russias-war,Chatham House,,,"Mar 26, 2024","In parallel, resolute efforts are being made to reduce Moldova's energy dependence on Russia. President Sandu has tried to address the lack of public faith ...",3,2024,2025,1
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",ru,web,Moldova is becoming increasingly dependent on ...,https://www.youtube.com/watch?v=l4D4kiwt3gY,YouTube · Canal5 Moldova,,,,Moldova is becoming increasingly dependent on expensive imported electricity. Auto-dubbed. 3.1K views · 9 months ago ...more ...,1,2024,2025,1
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",ru,web,WITHOUT LIGHT AND HEAT! Gas WAR between Russia ...,https://www.youtube.com/watch?v=2feP8CAsMck,YouTube · Борис Марцинкевич,,,,"Transnistria is facing a severe energy crisis: power outages last for 8 hours, residents are freezing in their homes. What caused the collapse of the energy ...",2,2024,2025,1
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",ru,web,The geopolitical significance of the Arctic and American ...,https://www.ifimes.org/en/researches/the-geopolitical-significance-of-the-arctic-and-american-policy-towards-the-northern-transportation-network/5592,Ifimes,,,"Aug 15, 2025","Russia, as the country with the largest share of the Arctic zone, has in recent years invested heavily in both military and civilian infrastructure, developing ...",3,2024,2025,1
capabilities,"""World Bank Moldova infrastructure connectivity""",en,web,Moldova to Benefit from Better Roads and Enhanced ...,https://www.worldbank.org/en/news/press-release/2024/04/29/moldova-to-benefit-from-better-roads-and-enhanced-border-crossings-with-world-bank-support,World Bank,,,"Apr 29, 2024",MRCP will finance the rehabilitation and upgrading of approximately 95 km of three priority local roads with climate-resilient design.,1,2024,2025,1
capabilities,"""World Bank Moldova infrastructure connectivity""",en,web,THE WORLD BANK GROUP IN MOLDOVA,https://thedocs.worldbank.org/en/doc/6c455d39db3f10458f25e2cd00b64f4c-0080012025/original/WB-Moldova-Portfolio-Brochure-Sep-2024-eng.pdf,World Bank,,,"Sep 2, 2024","Since Moldova joined IFC in 1995, IFC has invested in 19 projects in various sectors, including agribusiness, mobile telecoms, financial sector, power ...",2,2024,2025,1
capabilities,"""World Bank Moldova infrastructure connectivity""",en,web,Moldova - Local Roads Improvement Project,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099020224093025010,World Bank,,,"Feb 2, 2024","Ratings for the Local Roads Improvement Project for Moldova were as follows: outcome was satisfactory, Bank performance was moderately satisfactory, ...",3,2024,2025,1
organisations,"""EU4Energy Moldova"" OR ""Energy Community Moldova""",en,web,Energy Community's Post,https://www.linkedin.com/posts/energy-community_moldova-georgia-ukraine-activity-7252241134985371649-Sj_z,LinkedIn · Energy Community,,,,... EU4Energy #Moldova #GasMarket #EUIntegration.,1,2024,2025,1
organisations,"""EU4Energy Moldova"" OR ""Energy Community Moldova""",en,web,Publications - CEER,https://www.ceer.eu/about-the-project/publications/,ceer.eu,,,"Oct 21, 2024",EU4Energy Georgia. 22.05.2022 Download · EU4Energy Moldova. 22.05.2022 Download · EU4Energy Regional. 22.05.2022 Download · EU4Energy Ukraine. 22.05.2022 ...,2,2024,2025,1
organisations,"""EU4Energy Moldova"" OR ""Energy Community Moldova""",en,web,Studies - Energy Community Homepage,https://www.energy-community.org/publications/studies.html,Energy Community,,,"Aug 15, 2025","ECC, Technical Assistance for the Connection Network Codes Implementation in the Energy Community, Moldova. 16.06.2021. ECC, Technical Assistance for the ...",3,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",en,web,Moldova's Energy Crisis Could Pave the Way ...,https://carnegieendowment.org/russia-eurasia/politika/2024/12/russia-moldova-energy-crisis?lang=en,Carnegie Endowment for International Peace,,,"Dec 20, 2024","While this allowed Chișinău to claim it was no longer dependent on Gazprom, Moldova continued buying cheap electricity from Transnistria that had been produced ...",1,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",en,web,Gazprom calls revocation of Moldovagaz license final blow ...,https://interfax.com/newsroom/top-stories/113138/,Interfax,,,"Aug 8, 2025","Transdniestria's administration has transferred its share management rights to Gazprom. Moldova has been buying gas on the European market since December 2022, ...",2,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",en,web,Moldova orders Gazprom subsidiary to surrender control of ...,https://www.upstreamonline.com/energy-security/moldova-orders-gazprom-subsidiary-to-surrender-control-of-gas-grid/2-1-1853403,Upstream Online,,,"Aug 4, 2025","GazpromMoldovaMoldovagazEnergocomRussia. Copy link. Be notified. Energy Explored. In a world awash with information, Upstream helps readers filter out the noise ...",3,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",en; ro; ru,scholar,Moldova Köztársaság a forrongó 2024-es évben= Moldova in the Turbulent Year of 2024,https://real.mtak.hu/189824/,,"TJ Barabás - MKI ELEMZÉSEK, 2024 - real.mtak.hu",https://real.mtak.hu/189824/1/KE-2024_02_Moldova_2024ben_BTJ.pdf,,"… A növekvő romániai áramszállítmányok is feleslegessé teszik ezt a GAZPROM–Moldova–Dnyeszter-mellék üzletet, ami várhatóan még súlyosabb válságba dönti a szakadár területet. …",,2024,2025,3
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",ru,web,New Gas Supplier to Transnistria? Interview with Arkady ...,https://www.youtube.com/watch?v=5t9fenNkp-8,YouTube · МОСТ,,,,#gas #gascrisis #nogas #nolight #news #moldova #transnistria #ukraine #gazprom #moldova #ukraine #transnistria #gas #gazul #russiangas #moldovanews ...,1,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",ru,web,Энергетический Армагеддон: Молдавия разрывает ...,https://www.pravda.ru/news/economics/2258457-gazprom-moldova-conflict/,Правда.Ру,,,"Aug 7, 2025",Газпром обвинил Молдавию в нарушении соглашений и подрыве энергетической безопасности из-за долга в $709 млн и отзыва лицензии у Молдовагаза.,2,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",ru,web,"Друзья, ранее мы объясняли, как Республика Молдова ...",https://www.facebook.com/Nokta.md/videos/%D0%B4%D1%80%D1%83%D0%B7%D1%8C%D1%8F-%D1%80%D0%B0%D0%BD%D0%B5%D0%B5-%D0%BC%D1%8B-%D0%BE%D0%B1%D1%8A%D1%8F%D1%81%D0%BD%D1%8F%D0%BB%D0%B8-%D0%BA%D0%B0%D0%BA-%D1%80%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0-%D0%BC%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B0-%D0%B7%D0%B0%D0%BA%D1%83%D0%BF%D0%B0%D0%B5%D1%82-%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9-%D0%B3%D0%B0%D0%B7-%D1%81%D0%B5%D0%B3%D0%BE%D0%B4%D0%BD%D1%8F-/1029341785916883/,Facebook · Nokta,,,,The system for distribution of personnel is in Gazprom Moldova diversification and often Moldova point Alekseevka Chernauun Rutafa Ukraine part of ...,3,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",ro,web,Lovitură pentru Gazprom. Moldova preia controlul furnizării ...,https://www.profit.ro/povesti-cu-profit/vecini/revista-presei-din-republica-moldova-lovitura-pentru-gazprom-moldova-preia-controlul-furnizarii-gazelor-pe-propriul-teritoriu-22146303,Profit.ro,,,"Aug 28, 2025","Revista presei din Republica Moldova - Lovitură pentru Gazprom. Moldova preia controlul furnizării gazelor pe propriul teritoriu. 28 august 2025, 22:00.",1,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",ro,web,"„Datoria din Est” – Rusia împrumută, ...",https://www.facebook.com/curaj.tv/posts/datoria-din-est-rusia-%C3%AEmprumut%C4%83-moldova-risc%C4%83-transnistria-se-consult%C4%83un-text-de/1042818301208378/,Facebook · Curaj.TV,,,,"... Gazprom. Moldova are deja acces la gaz european prin România, iar viitoarele investiții vor accelera tranziția către o piață energetică stabilă, conectată ...",2,2024,2025,1
organisations,"""Gazprom Moldova"" OR ""Inter RAO Transnistria""",ro,web,Gazprom: Moldova a distrus compania Moldovagaz,https://point.md/ro/novosti/ekonomika/gazprom-moldova-razrushila-biznes-moldovagaz/,Point.md,,,"Aug 7, 2025",Compania rusă Gazprom a făcut o declarație în legătură cu retragerea licenței de furnizare a gazului acordată SA Moldovagaz în Republica Moldova. Gazprom: ...,3,2024,2025,1
people,"""brain drain Moldova infrastructure sector""",en,web,Strengthening Moldova's Cyber Landscape,https://www.csis.org/analysis/strengthening-moldovas-cyber-landscape,CSIS | Center for Strategic and International Studies,,,"Oct 8, 2024",The resulting “brain drain” is exacerbated by the weight of an aging Moldovan population. But tech and cyber job opportunities across public and private sectors ...,1,2024,2025,1
people,"""brain drain Moldova infrastructure sector""",en,web,Growth Plan for Moldova - Regulation.pdf,https://enlargement.ec.europa.eu/document/download/029c4a4c-1586-46e8-b94e-38a4a1f6ae07_en?filename=Growth%20Plan%20for%20Moldova%20-%20Regulation.pdf,Enlargement and Eastern Neighbourhood,,,"Oct 9, 2024","In addition, the Facility is expected to mobilise up to EUR 2 500 million of new investments from the international financial institutions and the private ...",2,2024,2025,1
people,"""brain drain Moldova infrastructure sector""",en,web,Action Plan for the Republic of Moldova 2021-2024,https://rm.coe.int/dio-eva-dec-final-moldova-ap-evaluation-report-310524/1680b1c064,coe.int,,,"May 31, 2024","Factors at play include a general brain drain from the country, too low a level of remuneration, ... There are big infrastructure needs in the sector. This ...",3,2024,2025,1
people,"""brain drain Moldova infrastructure sector""",ro,web,Evaluations,https://anacec.md/en/technical-staff/evaluations,ANACEC.md,,,"Sep 23, 2025",The influence of the brain drain of Israeli students studying abroad on the labor market in Israel in comparison to the international situation. Doctor.,1,2024,2025,1
people,"""brain drain Moldova infrastructure sector""",ro,web,Timișoara Cities Summit 2025 – EU Enlargement - Timișoara ...,https://timisoarasummit.eu/,timisoarasummit.eu,,,"Sep 30, 2025","Yet, concerns about competition, brain drain, and disparities remain. This panel explores how cities can work with local businesses and civil society to ...",2,2024,2025,1
people,"""brain drain Moldova infrastructure sector""",ro,web,At least one person has died and hundreds have been ...,https://www.facebook.com/cgtneuropeofficial/posts/at-least-one-person-has-died-and-hundreds-have-been-evacuated-after-torrential-r/1281041910723018/,Facebook · CGTNEurope,,,,"The valley village of Brosteni in Suceava county was devastated, with vehicles and homes swept away in the deluge. Officials say the Bistrita river surged to ...",3,2024,2025,1
people,"""human capital energy sector Moldova""",ru,web,Moldova has become the 37th member state of EuroHPC ...,https://infomarket.md/en/analitics/383519,InfoMarket.MD,,,5 days ago,"Moldova has become the 37th member state of EuroHPC, the European joint initiative to develop high-performance computing 09.10.2025.",1,2024,2025,1
people,"""human capital energy sector Moldova""",ru,web,Moldova is strengthening its regulatory framework in the ...,https://infomarket.md/en/analitics/383466,InfoMarket.MD,,,5 days ago,Moldova is strengthening its regulatory framework in the field of construction and urban planning 09.10.2025. The government has approved amendments to the ...,2,2024,2025,1
people,"""human capital energy sector Moldova""",ru,web,Wind energy: how wind turbines are changing Moldova’s ...,https://www.youtube.com/watch?v=ufF6Dk6oywo,YouTube · Laf md,,,,Wind in Moldova is no longer just weather – it is now a strategic resource. Find out how new wind farms ensure energy independence and help the country ...,3,2024,2025,1
events,"""EU aid infrastructure Moldova 2025""",en,web,Parliament approves new support plan for Moldova | News,https://www.europarl.europa.eu/news/en/press-room/20250310IPR27218/parliament-approves-new-support-plan-for-moldova,European Parliament,,,"Mar 11, 2025","On Tuesday, the European Parliament gave its green light to a new support facility for Moldova, focusing on better financing and democratic oversight.",1,2024,2025,1
events,"""EU aid infrastructure Moldova 2025""",en,web,Joint Declaration following the first EU-Republic of Moldova ...,https://enlargement.ec.europa.eu/news/joint-declaration-following-first-eu-republic-moldova-summit-2025-07-04_en,Enlargement and Eastern Neighbourhood,,,"Jul 4, 2025","EU support to Moldova in the modernisation of its defence capabilities will continue, including €60 million of the European Peace Facility (EPF) budget in 2025 ...",2,2024,2025,1
events,"""EU aid infrastructure Moldova 2025""",en,web,Moldova: an unprecedented financial assistance package ...,https://www.osw.waw.pl/en/publikacje/analyses/2025-02-24/moldova-unprecedented-financial-assistance-package-eu,OSW Ośrodek Studiów Wschodnich,,,"Feb 24, 2025","Under this plan, Moldova is set to receive €1.885 billion in aid between 2025 and 2027, including €385 million in non-repayable grants and €1.5 billion in ...",3,2024,2025,1
events,"""EU aid infrastructure Moldova 2025""",ro,web,Support for EU Integration - EU for ...,https://eu4moldova.eu/en/support-for-eu-integration/,EU for Moldova,,,"Aug 29, 2025","The Internship Programme focuses on topics of EU – Republic of Moldova relations, and namely on the process of EU integration.",1,2024,2025,1
events,"""EU aid infrastructure Moldova 2025""",ro,web,Joint motion for a resolution - European Parliament,https://www.europarl.europa.eu/doceo/document/RC-10-2025-0355_EN.html,European Parliament,,,"Sep 5, 2025","Welcomes the smooth adoption of the EUR 1.9 billion Growth Plan for Moldova, which represents an unprecedented level of support aimed at boosting the Moldovan ...",2,2024,2025,1
events,"""EU aid infrastructure Moldova 2025""",ro,web,Moldova invests 208 million lei in local and regional ...,https://moldovainvest.eu/en/international-en/moldova-invests-208-million-lei-in-local-and-regional-development-11-projects-approved-for-2025-2027/,Moldova Invest,,,"Oct 2, 2025",Moldova invests 208 million lei in local and regional development: 11 projects approved for 2025–2027 · Details of the approved projects · Investment context and ...,3,2024,2025,1
general,"""Moldova energy"" OR ""energy security Moldova""",en,web,Moldova's Energy Future,https://www.csis.org/analysis/moldovas-energy-future,CSIS | Center for Strategic and International Studies,,,"Oct 11, 2024","Most importantly, this piece includes potential and crucial solutions to continue progressing toward Moldova's energy independence. This report is made possible ...",1,2024,2025,1
general,"""Moldova energy"" OR ""energy security Moldova""",en,web,European Commission and Moldova agree on a 2-year ...,https://enlargement.ec.europa.eu/news/european-commission-and-moldova-agree-2-year-comprehensive-strategy-energy-independence-and-2025-02-04_en,Enlargement and Eastern Neighbourhood,,,"Feb 4, 2025","Today Moldova's energy system is providing electricity and heat without any blackouts. ... So far, the EU has already provided €240 million in direct budget ...",2,2024,2025,1
general,"""Moldova energy"" OR ""energy security Moldova""",en,web,MOLDOVA MOLDOVA ENERGY SECURITY,https://www.ebrd.com/content/dam/ebrd_dxp/documents/project/56466/Moldova%20Energy%20Security.pdf,EBRD,,,"Jun 11, 2025","In addition to Moldova's energy security, the Project will contribute to continued energy sector reforms in Moldova under the ENERSAP 2.0, which will help the ...",3,2024,2025,1
general,"""Moldova energy"" OR ""energy security Moldova""",en,scholar,The Energy Security of the Republic of Moldova Concerning the Policies Adopted by the European Union–A Multi-Facetted and Complex Topic,https://sciendo.com/2/v2/download/article/10.2478/picbe-2024-0202.pdf,,"ION Iulian, VM Dincă - Proceedings of the International Conference on …, 2024 - sciendo.com",https://sciendo.com/2/v2/download/article/10.2478/picbe-2024-0202.pdf,,"The new geopolitical dynamic has brought a series of energy security transformations in the Central and Eastern European region. The Republic of Moldova, located at the confluence …",,2024,2025,1
general,"""Moldova energy"" OR ""energy security Moldova""",en,scholar,The Transition to Green Energy as a Strategy for Strengthening the Economic Security of the Republic of Moldova,https://irek.ase.md/jspui/handle/123456789/4318,,V Cutcovschi - 2025 - irek.ase.md,https://irek.ase.md/xmlui/bitstream/handle/123456789/4318/5.%20EEJRS_issue%201_2025-%20CUTCOVSCHI.pdf?sequence=1&isAllowed=y,,"… Moldova's energy system heavily depends on outside sources, with 82.78% of its total energy needs in 2022 met by imports. In 2022, electricity demand was 4.4 TWh. Of that, 10.72% …",,2024,2025,1
general,"""Moldova transport infrastructure"" OR ""roads rail Moldova""",en,web,Moldova and Transport Community: Productive meetings ...,https://www.transport-community.org/news/moldova-and-transport-community-productive-meetings-highlight-progress-in-transport-sector-and-eu-integration/,Transport Community,,,"Aug 21, 2024","This innovative action, aimed at improving the efficiency and safety of Moldova's transport infrastructure, is open for tender and accessible via the ...",1,2024,2025,1
general,"""Moldova transport infrastructure"" OR ""roads rail Moldova""",en,web,eu project page,https://eu4moldova.eu/en/projects/eu-project-page/?id=1945,EU for Moldova,,,"Feb 21, 2025","It involves a comprehensive analysis of Moldova's transport infrastructure and services, providing strategic guidance and actionable recommendations to the ...",2,2024,2025,1
general,"""Moldova transport infrastructure"" OR ""roads rail Moldova""",en,web,Reform Agenda under the Republic of Moldova`s Growth ...,https://mded.gov.md/wp-content/uploads/2025/05/Agenda-_260-en.pdf,Ministerul Dezvoltării Economice și Digitalizării,,,"May 3, 2025","Moldova's transport infrastructure currently fails to meet the standards and functional capacities required by the EU, presenting a challenge in terms of ...",3,2024,2025,1
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,web,"Moldova's Telecom Sector: Bridging Gaps, Building ...",https://www.telecomrevieweurope.com/articles/reports-and-coverage/moldovas-telecom-sector-bridging-gaps-building-tomorrow/,Telecom Review Europe,,,"Feb 17, 2025","Moldova's telecommunications infrastructure has seen significant growth, with 4.24 million cellular mobile connections reported at the start of 2024 ...",1,2024,2025,1
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,web,nPerf награды исправлено Молдова 2024,https://www.nperf.com/ru/awards/md/2024/broadband/moldova,nPerf.com,,,"Jan 14, 2025","Лучшая производительность Фиксированная линия Интернета за 2024 ; 2, Orange, 214,7 ; 3, Moldtelecom, 110,0 ; 4, Moldcell, 127,8 ; 5, IDC, 59,4 ...",2,2024,2025,1
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,web,vocab.txt,https://huggingface.co/amitness/mergedistill-mt-en/raw/main/vocab.txt,Hugging Face,,,"Feb 9, 2024",... broadband Moldova installazzjonijiet Kondotta tinbeda ##likata konvin ##daħħ ttieħdet NB Konsegwentement ġenerazzjonijiet ##qsin ##jegati Cont msejħa Noel ...,3,2024,2025,1
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,scholar,Infrastructure as a Determinant of the National Competitiveness,https://ibn.idsi.md/vizualizare_articol/209503,,"A Stratan - Across, 2024 - ibn.idsi.md",https://ibn.idsi.md/sites/default/files/imag_file/31-38_30.pdf,,"Cognizant of the instrumental role infrastructure plays in the underpinning of international competitiveness, Moldova's public custodians have been actively marshalling resources and …",,2024,2025,1
general,"""Moldova water infrastructure"" OR ""utilities Moldova""",en,web,Edinet Water Treatment Plant construction has started and ...,https://eu4moldova.eu/en/edinet-water-treatment-plant-construction-has-started-and-will-serve-approximately-25800-residents/,EU for Moldova,,,"Apr 9, 2025","... Moldova's water infrastructure. Through this investment in Edinet and additional efforts in Cupcini and Bratuseni, we are proud to support communities in ...",1,2024,2025,1
general,"""Moldova water infrastructure"" OR ""utilities Moldova""",en,web,Advertiser Directory - Affiliate Program,https://optimisemedia.com/advertiser-directory/,optimisemedia.com,,,"Sep 12, 2024",... UtilitiesMoldova | BusinessMoldova | CharitiesMoldova | EducationMoldova | EmploymentMoldova | Fashion & BeautyMoldova | FinanceMoldova | GroceryMoldova ...,2,2024,2025,1
