category,query,language,engine,title,link,source,pdf_link,date,snippet
social,diaspora Moldova remittances social impact 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,
social,youth unemployment Moldova 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,https://www.esri.ie/pubs/RS185.pdf,,
social,youth unemployment Moldova 2024..2025,en,scholar,Does Türkiye Have a Demographic Dividend? NUTS 2 Analysis,https://openalex.org/W4405258873,Cumhuriyet Üniversitesi İktisadi ve İdari Bilimler Dergisi (2024),,,
social,youth unemployment Moldova 2024..2025,en,scholar,The Impact of the United Nations Human Rights Treaties on the Domestic Level in the Czech Republic,https://openalex.org/W4392195217,Brill | Nijhoff eBooks (2024),https://brill.com/downloadpdf/edcollchap-oa/book/9789004377653/BP000006.pdf,,
social,Moldova protests 2024 analysis,en,youtube,LIVE: Moldova’s Patriotic Bloc Supporters Rally Outside Parliament After Election | AC1G,https://www.youtube.com/watch?v=wc2nUTrGs8w,DRM News,,20250929,"Moldova’s Patriotic Bloc supporters gathered outside parliament in Chisinau just a day after the elections, demanding that their votes be respected. The rally highlights growing political tensions in the country as citizens voice concerns about fairness and transparency in the electoral process.

Stay tuned for more updates on Moldova’s post-election developments and political movements.

#Moldova #Elections #Protests #PatrioticBloc #Chisinau #Politics #BreakingNews

Moldova elections, Moldova p"
social,Moldova protests 2024 analysis,en,youtube,'Moldova is worse than Ukraine': My clash with Russian sympathisers on the frontline of Cold War Two,https://www.youtube.com/watch?v=gZC5FvDt-u0,The Telegraph,,20250722,"Is Moldova Putin’s next target? As Russia wages war in Ukraine, neighbouring Moldova faces a new kind of invasion: political manipulation, disinformation and cyber warfare. Francis Dearnley travels to Moldova’s capital Chisinau to uncover the hybrid war being waged at Europe's eastern frontier.

With Russian-backed protests coming up against pro-European figures pushing for EU integration, Moldova stands at a crossroads— caught between East and West. Could it become the next front in a broader g"
social,Moldova protests 2024 analysis,en,youtube,Moldova gripped by mass anti-government protests,https://www.youtube.com/watch?v=Oy7RAeiToJo,Al Jazeera English,,20160125,"Thousands have rallied in Chisinau demanding fresh elections and the ouster of the Prime Minister.The demonstrators say the government is in the pockets of big business.Al Jazeera's Robin Forestier Walker reports from Chisinau.- Subscribe to our channel: http://bit.ly/AJSubscribe- Follow us on Twitter: https://twitter.com/AJEnglish- Find us on Facebook: https://www.facebook.com/aljazeera- Check out our website: http://www.aljazeera.com/"
social,Moldova protests 2024 analysis,en,youtube,Moldova bars pro-Russian party from tense parliamentary election • FRANCE 24 English,https://www.youtube.com/watch?v=qwRloizr1Tg,FRANCE 24 English,,20250927,"Moldova’s electoral commission barred a pro-Russian party from participating in this weekend's tense parliamentary election, which is beleaguered by widespread claims of Russian interference. The vote could decide the country’s geopolitical future: a stark choice between East and West. Details by FRANCE 24 correspondent Maria Gerth-Niculescu.
#Moldova #election #Russia

🔔 Subscribe to France 24 now: https://f24.my/YTen
🔴 LIVE - Watch FRANCE 24 English 24/7 here: https://f24.my/YTliveEN

🌍 Read t"
social,Moldova protests 2024 analysis,en,youtube,Watch again: Thousands protest soaring cost of living in Moldova,https://www.youtube.com/watch?v=XggSE3XHf8M,The Independent,,20230312,"Thousands of demonstrators are expected to gather in the Moldovan capital Chisinau to protest against soaring costs of living, especially energy bills which now consume most of an average household income. 

Pro-Western president Maia Sandu says protesters, brought in by buses to Chisinau from all over Moldova, are financed by Russia via the exiled businessman Ilan Shor.

Watch more on Independent TV: https://www.independent.co.uk/tv/news

Click here to subscribe to The Independent: https://bit."
social,Moldova protests 2024 analysis,en,youtube,BREAKING: Moldova’s Patriotic Bloc Supporters Rally Outside Parliament After Election | AC1Z,https://www.youtube.com/watch?v=LdqhBe95_F0,DRM News,,20250929,"Moldova’s Patriotic Bloc supporters gathered outside parliament in Chisinau just a day after the elections, demanding that their votes be respected. The rally highlights growing political tensions in the country as citizens voice concerns about fairness and transparency in the electoral process.

Stay tuned for more updates on Moldova’s post-election developments and political movements.

#Moldova #Elections #Protests #PatrioticBloc #Chisinau #Politics #BreakingNews

Moldova elections, Moldova p"
social,Moldova protests 2024 analysis,en,youtube,Moldova protests Russian voting stations in Transnistria,https://www.youtube.com/watch?v=GBmyBwoS84o,euronews,,20240312,"The eastern European country summoned Russia's ambassador on Tuesday, after Moscow decided to open polling stations for Russian elections in the Transnistrian region without its consent. 

READ MORE : https://www.euronews.com/2024/03/12/moldova-protests-russian-voting-stations-in-transnistria

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to our thematic channels:
NoComment: https://www.yout"
social,Moldova protests 2024 analysis,en,youtube,Moldova’s Stolen Victory? Opposition Cries Fraud and Demands Justice Amid Election Chaos,https://www.youtube.com/watch?v=ak-ZV4fopak,Times Now World,,20250930,"Moldova’s parliamentary elections have sparked a political crisis, with opposition leaders denouncing the vote as fraudulent and pro-Russian supporters staging mass protests in Chisinau. President Maia Sandu’s pro-European Action and Solidarity Party declared a narrow victory, but rivals led by Marina Tauber and Igor Dodon accused the government of rigging results and silencing voters abroad. Demonstrators branded Moldova a “colony of Europe” and demanded new elections, while European leaders ha"
social,Moldova protests 2024 analysis,en,youtube,"The Moldovan Town Where 95 Percent Said 'No' To The EU, 'Yes' To Russian TV",https://www.youtube.com/watch?v=EPpCOyseycQ,Radio Free Europe/Radio Liberty,,20241031,"In Moldova’s Gagauzia region, 95% of residents recently cast a vote against enshrining EU membership in the constitution. This might be due to a strong pro-Russia sentiment, as many Moldovans here rely on Russian TV for news, shaping their perspective in opposition to EU integration. After the recent EU referendum, locals expressed nostalgia for Soviet times and concerns over Western values. 

#moldova #russianews #rfe_rl"
social,Moldova protests 2024 analysis,en,youtube,WARNING: Russia May Be Planning Violent Protests After the Moldovan Elections,https://www.youtube.com/watch?v=AafBex7Zg4U,NEWS TODAY,,20250926,"WARNING: Russia May Be Planning Violent Protests After the Moldovan Elections 
https://ift.tt/EU1kQGi 
Reports indicate a concerning potential for Russia to instigate violent protests following Moldova's upcoming parliamentary elections. According to analyses from the Institute for the Study of War and intelligence agencies, the Kremlin is reportedly laying the groundwork to destabilize the country, regardless of the election's outcome. This alleged plan involves a sophisticated information oper"
social,Gagauzia identity Russian world 2024,en,youtube,The Life and History of Moldova’s Autonomous Region of Gagauzia,https://www.youtube.com/watch?v=1LMbiXZM2As,TRT World,,20210824,"Across the Balkans takes you to the northeastern edge of the Balkan peninsula, to Moldova’s autonomous region of Gagauzia, home to the Gagauz people. They're a small Turkic minority group, and speak a language close to Turkish. Their rights and autonomy are protected by Moldova's constitution, but their tiny region is caught between Russia, the EU and Turkey, all vying for influence. TRT World Correspondent Andrew Hopkins explains.

Across The Balkans, hosted by Nafisa Latic, is TRT World’s prog"
social,Gagauzia identity Russian world 2024,en,youtube,Moldova: The National Gagauz Museum | European Journal,https://www.youtube.com/watch?v=PRJ6CUxqMCg,DW News,,20101125,"Gagauzia is located in southern Moldova. It's a tiny, little-known autonomous region in Europe. A museum there is dedicated to chronicling the history of the Gagauz people, a Turkish ethnic group with their own language.In 1994, about 155,000 Gagauz peacefully secured the right to independence from Moldova. The region has its own parliament and laws. The head of the Gagauz National Museum sought to preserve the group's unique and common experience. She was recognized by the European Union for he"
social,Gagauzia identity Russian world 2024,en,youtube,FACT CHECK: Pro-Russia governor of Gagauzia falsely claims Moldovans don’t want to join EU,https://www.youtube.com/watch?v=QDCWaDSqgXY,Voice of America,,20240423,"Moldova is expected to hold a nation-wide referendum on membership in the European Union alongside presidential elections this fall. 

President Maia Sandu, who’s seeking reelection, has focused anti-corruption reforms and foreign policy on reducing Russian influence and distancing the nation from its Soviet past. She hopes joining the EU will “prevent future governments from derailing Moldova from its European trajectory.” 

An avid supporter of Ukraine, Sandu has been pursuing Moldova’s EU mem"
social,Gagauzia identity Russian world 2024,en,youtube,Every family in Ukraine's Hroza village affected by missile attack | Russia-Ukraine war LIVE | WION,https://www.youtube.com/watch?v=bQUKM9N9-Kk,WION,,20231006,"Russian drones attacked port infrastructure in Ukraine's Odesa region, damaging a grain silo in the Izmail district in the early hours of Friday, regional governor Oleh Kiper said.

#russiaukrainewar #ukraine #wion 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We de"
social,Gagauzia identity Russian world 2024,en,youtube,Russia-Ukraine war LIVE: Russian attack damages port infrastructure at Ukraine's Izmail | Wion,https://www.youtube.com/watch?v=iP2LeuuksY8,WION,,20230907,"Russian drone strikes overnight damaged port infrastructure, a grain silo and administrative buildings in the Izmail district of Ukraine's southern Odesa region, the regional governor said on Thursday.

#russiaukrainewar   #NorthKorea #WIONLIVE

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on"
social,Gagauzia identity Russian world 2024,en,youtube,"This Is How Forgotten Christian Turks Live In Moldova 🇲🇩 Inside Gagauzia, Ceadir-Lunga",https://www.youtube.com/watch?v=rO6VATu_Hzs,Davud Akhundzada,,20240823,"The Gagauz Turks are an ethnic group with a unique culture and language. They reside primarily in the autonomous region of Gagauzia, which is located in the southern part of Moldova. Gagauzia is known for its rich traditions, including vibrant folk music and distinctive cuisine. The people of Gagauzia are proud of their heritage and work hard to preserve their cultural identity. The region has its own flag, anthem, and even its own national day. Gagauzia is a fascinating place with a rich histor"
social,Gagauzia identity Russian world 2024,en,youtube,"$400 Kisses From Christian Turk Babushkas In Gagauzia, Beșalma, Moldova 🇲🇩",https://www.youtube.com/watch?v=tR3xRitH9g0,Davud Akhundzada,,20240821,"The Gagauz Turks are an ethnic group with a unique culture and language. They reside primarily in the autonomous region of Gagauzia, which is located in the southern part of Moldova. Gagauzia is known for its rich traditions, including vibrant folk music and distinctive cuisine. The people of Gagauzia are proud of their heritage and work hard to preserve their cultural identity. The region has its own flag, anthem, and even its own national day. Gagauzia is a fascinating place with a rich histor"
social,Gagauzia identity Russian world 2024,en,youtube,Russia-Ukraine war LIVE: Russia launches overnight drone attack on Kyiv | WION LIVE,https://www.youtube.com/watch?v=Gk7qsM9M7P8,WION,,20240729,"Russian drones attacked the southern Ukrainian port city of Izmail for a second straight night damaging infrastructure, several Russian attack drones entered Romanian airspace. Moscow has targeted ports in the southern Odesa region persistently since it exited an accord last year brokered by the United Nations and Turkey allowing Ukraine to export grain via the Black Sea.

#russiaukrainewar #putin #zelenskyy  

About Channel: 

WION The World is One News examines global issues with in-depth anal"
social,Gagauzia identity Russian world 2024,en,youtube,Russian drone strike hits critical Ukrainian grain facility,https://www.youtube.com/watch?v=WJY_v8ZOab4,CNN,,20230817,"Russian drone strikes hit grain facilities crucial for the global food supply.  The attack destroyed warehouses, granaries and other agricultural machinery in the port city of Reni, Ukraine.
  #CNN #News"
social,Gagauzia identity Russian world 2024,en,youtube,Watch | Explosion Near Ukraine’s Izmail Seen From Romania,https://www.youtube.com/watch?v=ZfrW73pV1bs,CRUX,,20240726,"On July 25, eyewitness footage from Plauru, a village on the Romanian side of the Danube River facing Ukraine, captured an explosion and smoke near the Ukrainian town of Izmail. Earlier reports indicated that drone fragments were discovered in the Romanian village following overnight Russian attacks on Ukrainian infrastructure. Local media G4Media released footage showing charred, uprooted trees and smoke where one of the drones had crashed. Romania's defense ministry confirmed finding fragments"
social,Transnistria social tensions 2024,en,youtube,Transnistria: Caught between Russia and the EU | DW Documentary,https://www.youtube.com/watch?v=8fblgbUI7t0,DW Documentary,,20250926,"Officially, Transnistria is part of the Republic of Moldova. But in practice, it is a state within a state. After the collapse of the Soviet Union, the region seceded in a bloody civil war. It has its own flag, currency and government.

The self-proclaimed Republic of Transnistria is not internationally recognized. But it has been closely intertwined with Russia politically, economically and militarily for decades. Some 1,500 Russian soldiers are permanently stationed in the region. In spring 20"
social,Transnistria social tensions 2024,en,youtube,Ukraine tension poses threat to Transnistria,https://www.youtube.com/watch?v=Ota-ZZ0rHCk,Al Jazeera English,,20140425,"Subscribe to our channel http://bit.ly/AJSubscribe

Subscribe to our channel http://bit.ly/AJSubscribe


Tension in the east is threatening stability in neighbouring Transnistria - a self-declared landlocked state between Ukraine and Moldova.  It's been trying to formalise its Soviet roots for years, and unite with Russia.

At Al Jazeera English, we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story an"
social,Transnistria social tensions 2024,en,youtube,‘Blocked on both sides’: Transnistria residents fear for future • FRANCE 24 English,https://www.youtube.com/watch?v=uRjSeS9ftyM,FRANCE 24 English,,20240308,"Separatist authorities in Transnistria, a breakaway pro-Russian region officially part of Moldova, recently asked Russia and the international community for economic protection following what they denounced as economic and social pressures imposed by Moldova. With the war in Ukraine also adding to ratcheting up tensions, some in Transnistria fear for the future of the region.
#Transnistria #Moldova #Russia

🔔 Subscribe to France 24 now: https://f24.my/YTen
🔴 LIVE - Watch FRANCE 24 English 24/7 h"
social,Transnistria social tensions 2024,en,youtube,Moldova at the crossroads: tensions with Transnistria ahead of EU membership referendum,https://www.youtube.com/watch?v=R3o1g-rc_zo,euronews,,20240930,"In October Moldovans will vote on making EU membership a constitutional goal. A 'yes' vote would put the pro-Western leadership on a collision course with the   Russia-leaning breakaway region in the east.  

READ MORE : https://www.euronews.com/2024/09/30/moldova-at-the-crossroads-tensions-with-transnistria-ahead-of-eu-membership-referendum

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to "
social,Transnistria social tensions 2024,en,youtube,Russia ‘alarmed’ by violence in Transnistria,https://www.youtube.com/watch?v=va_phH4LS-M,CGTN Europe,,20220428,"Russia’s foreign ministry is ‘alarmed’ over ‘acts of terrorism’ in Moldova's breakaway region of Transnistria, where there have been several attacks this week. 

""We are alarmed by the escalation of tensions in Transnistria,"" foreign ministry spokeswoman Maria Zakharova said during her weekly briefing, pointing to reports of shootings and explosions. 

""We regard these actions as acts of terrorism aimed at destabilising the situation in the region and expect a thorough and objective investigatio"
social,Transnistria social tensions 2024,en,youtube,TRANSNISTRIA | Russia or Moldova?,https://www.youtube.com/watch?v=3IO4Pbmt4lg,Prof James Ker-Lindsay,,20220506,"The war in Ukraine has thrown a spotlight on the long-standing issue of Transnistria in neighbouring Moldova. With claims that Russia is considering a push on the breakaway territory, where it already has a contingent of troops, there are growing questions about the future of this de facto state. So, what is the Transnistrian dispute all about? And could we be about to see it resolved - peacefully or otherwise?

Hello and welcome! My name is James Ker-Lindsay. Here I take an informed look at Int"
social,Transnistria social tensions 2024,en,youtube,Transnistria: A Cold War Unfolds | Eastern Express,https://www.youtube.com/watch?v=2Cu4iCyVTAo,TVP WORLD,,20250110,"Ever heard of Transnistria? In this episode of Eastern Express, we shine a spotlight on Moldova’s breakaway region, unraveling its complex history and geopolitical tensions. From Soviet nostalgia to stalled negotiations, this “frozen conflict” has far-reaching implications for European stability.
🔴 Watch our 24/7 livestream - https://youtube.com/live/bJUJyPN6YTM?feature=share

Bringing you all the latest daily news and updates, TVP World is Poland's first English-language channel where you can f"
social,Transnistria social tensions 2024,en,youtube,Escalating Tensions In Moldova: Ukrainian-Backed Forces Strike Transnistria Military Base #ytshort,https://www.youtube.com/watch?v=7VOU9jitVAA,Nya360,,20240319,"@Nya360-iv3vj   @ChillaTV701 
Follow us on social media:
Instagram, Threads & Twitter @Nya360_
Read Full story at: nya360.com."
social,Transnistria social tensions 2024,en,youtube,Transnistria: The Russian Backed Enclave of Moldova | SBS Dateline,https://www.youtube.com/watch?v=RiQ3sz22nVI,SBS Dateline,,20220329,"A unique look into Transnistria, the Russian backed enclave of Moldova. There is an estimated 1500 soldiers stationed there, and some compare it with Donbass in Ukraine.  

Subscribe to Dateline: https://bit.ly/3gkQHtr 

Website http://www.sbs.com.au/news/dateline
Facebook https://www.facebook.com/DatelineSBS/
Twitter https://twitter.com/datelinesbs
Instagram https://www.instagram.com/datelinesbs/

Watch more Dateline, SBS 9.30pm Tuesday, and on SBS On Demand.

Dateline is an Australian award-wi"
social,Transnistria social tensions 2024,en,youtube,Moldovan breakaway region seeks Russia's help amid escalating tensions with pro-Western government,https://www.youtube.com/watch?v=0SvwXSyN510,euronews,,20240228,"Transnistria is one of numerous European regions where Moscow claims ethnic Russians are under threat.

READ MORE : https://www.euronews.com/2024/02/28/moldovan-breakaway-region-seeks-russias-help-amid-escalating-tensions-with-pro-western-gov

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to our thematic channels:
NoComment: https://www.youtube.com/c/nocommenttv?sub_confirmation=1
Euronews G"
